fixture_id,provider_id,comp,home,away,kickoff_utc,ft_home,ft_away,market,bookmaker,closing_price,captured_at
545,1386079,League Two,Barnet,Shrewsbury,2025-09-06T14:00:00+00:00,1,3,U2.5,bet365,1.85,2025-09-06T01:52:00.446875
535,1382888,Championship,Ross County,Arbroath,2025-09-06T14:00:00+00:00,1,2,U2.5,bet365,2.0,2025-09-06T09:25:11.008068
545,1386079,League Two,Barnet,Shrewsbury,2025-09-06T14:00:00+00:00,1,3,HOME_WIN,bet365,1.7,2025-09-06T01:52:00.434309
545,1386079,League Two,Barnet,Shrewsbury,2025-09-06T14:00:00+00:00,1,3,DRAW,bet365,3.75,2025-09-06T01:52:00.437176
545,1386079,League Two,Barnet,Shrewsbury,2025-09-06T14:00:00+00:00,1,3,AWAY_WIN,bet365,4.5,2025-09-06T01:52:00.438994
545,1386079,League Two,Barnet,Shrewsbury,2025-09-06T14:00:00+00:00,1,3,BTTS_Y,bet365,1.83,2025-09-06T01:52:00.449304
545,1386079,League Two,Barnet,Shrewsbury,2025-09-06T14:00:00+00:00,1,3,BTTS_N,bet365,1.83,2025-09-06T01:52:00.451247
545,1386079,League Two,Barnet,Shrewsbury,2025-09-06T14:00:00+00:00,1,3,O1.5,bet365,1.28,2025-09-06T01:52:00.441251
545,1386079,League Two,Barnet,Shrewsbury,2025-09-06T14:00:00+00:00,1,3,U1.5,bet365,3.5,2025-09-06T01:52:00.443059
545,1386079,League Two,Barnet,Shrewsbury,2025-09-06T14:00:00+00:00,1,3,O2.5,bet365,1.95,2025-09-06T01:52:00.444874
535,1382888,Championship,Ross County,Arbroath,2025-09-06T14:00:00+00:00,1,2,HOME_WIN,bet365,1.6,2025-09-06T09:25:10.996825
535,1382888,Championship,Ross County,Arbroath,2025-09-06T14:00:00+00:00,1,2,DRAW,bet365,4.0,2025-09-06T09:25:10.998521
535,1382888,Championship,Ross County,Arbroath,2025-09-06T14:00:00+00:00,1,2,AWAY_WIN,bet365,4.5,2025-09-06T09:25:11.000173
535,1382888,Championship,Ross County,Arbroath,2025-09-06T14:00:00+00:00,1,2,BTTS_Y,bet365,1.83,2025-09-06T09:25:11.009919
535,1382888,Championship,Ross County,Arbroath,2025-09-06T14:00:00+00:00,1,2,BTTS_N,bet365,1.83,2025-09-06T09:25:11.011822
535,1382888,Championship,Ross County,Arbroath,2025-09-06T14:00:00+00:00,1,2,O1.5,bet365,1.25,2025-09-06T09:25:11.002224
535,1382888,Championship,Ross County,Arbroath,2025-09-06T14:00:00+00:00,1,2,U1.5,bet365,3.75,2025-09-06T09:25:11.004614
535,1382888,Championship,Ross County,Arbroath,2025-09-06T14:00:00+00:00,1,2,O2.5,bet365,1.8,2025-09-06T09:25:11.006371
532,1386078,League Two,Newport County,Bristol Rovers,2025-09-06T11:30:00+00:00,2,3,DRAW,bet365,3.8,2025-09-06T09:25:08.041882
532,1386078,League Two,Newport County,Bristol Rovers,2025-09-06T11:30:00+00:00,2,3,AWAY_WIN,bet365,1.91,2025-09-06T09:25:08.042912
532,1386078,League Two,Newport County,Bristol Rovers,2025-09-06T11:30:00+00:00,2,3,BTTS_Y,bet365,1.73,2025-09-06T09:25:08.047604
532,1386078,League Two,Newport County,Bristol Rovers,2025-09-06T11:30:00+00:00,2,3,BTTS_N,bet365,2.0,2025-09-06T09:25:08.048530
532,1386078,League Two,Newport County,Bristol Rovers,2025-09-06T11:30:00+00:00,2,3,O1.5,bet365,1.22,2025-09-06T09:25:08.044022
532,1386078,League Two,Newport County,Bristol Rovers,2025-09-06T11:30:00+00:00,2,3,U1.5,bet365,4.0,2025-09-06T09:25:08.044899
532,1386078,League Two,Newport County,Bristol Rovers,2025-09-06T11:30:00+00:00,2,3,O2.5,bet365,1.75,2025-09-06T09:25:08.045802
532,1386078,League Two,Newport County,Bristol Rovers,2025-09-06T11:30:00+00:00,2,3,U2.5,bet365,2.05,2025-09-06T09:25:08.046692
532,1386078,League Two,Newport County,Bristol Rovers,2025-09-06T11:30:00+00:00,2,3,HOME_WIN,bet365,3.4,2025-09-06T09:25:08.040895
